# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.691 us    |        }
  0)               |        do_set_pte() {
  0)   0.082 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.085 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.097 us    |              __inc_zone_state();
  0)   0.700 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.078 us    |            mem_cgroup_end_page_stat();
  0)   3.124 us    |          }
  0)   4.352 us    |        }
  0)               |        unlock_page() {
  0)   0.082 us    |          __wake_up_bit();
  0)   0.690 us    |        }
  0)               |        do_set_pte() {
  0)   0.082 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.082 us    |              __inc_zone_state();
  0)   0.687 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.107 us    |          }
  0)   4.334 us    |        }
  0)               |        unlock_page() {
  0)   0.083 us    |          __wake_up_bit();
  0)   0.688 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.085 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.687 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.078 us    |            mem_cgroup_end_page_stat();
  0)   3.108 us    |          }
  0)   4.334 us    |        }
  0)               |        unlock_page() {
  0)   0.083 us    |          __wake_up_bit();
  0)   0.691 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.684 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.110 us    |          }
  0)   4.336 us    |        }
  0)               |        unlock_page() {
  0)   0.084 us    |          __wake_up_bit();
  0)   0.690 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.685 us    |            }
  0)   0.080 us    |            mem_cgroup_update_page_stat();
  0)   0.080 us    |            mem_cgroup_end_page_stat();
  0)   3.105 us    |          }
  0)   4.332 us    |        }
  0)               |        unlock_page() {
  0)   0.084 us    |          __wake_up_bit();
  0)   0.692 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.083 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.686 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.110 us    |          }
  0)   4.335 us    |        }
  0)               |        unlock_page() {
  0)   0.083 us    |          __wake_up_bit();
  0)   0.690 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.082 us    |              __inc_zone_state();
  0)   0.686 us    |            }
  0)   0.080 us    |            mem_cgroup_update_page_stat();
  0)   0.078 us    |            mem_cgroup_end_page_stat();
  0)   3.106 us    |          }
  0)   4.331 us    |        }
  0)               |        unlock_page() {
  0)   0.085 us    |          __wake_up_bit();
  0)   0.693 us    |        }
  0)               |        do_set_pte() {
  0)   0.082 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.685 us    |            }
  0)   0.080 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.106 us    |          }
  0)   4.330 us    |        }
  0)               |        unlock_page() {
  0)   0.082 us    |          __wake_up_bit();
  0)   0.690 us    |        }
  0)               |        do_set_pte() {
  0)   0.082 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.082 us    |              __inc_zone_state();
  0)   0.687 us    |            }
  0)   0.082 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.106 us    |          }
  0)   4.333 us    |        }
  0)               |        unlock_page() {
  0)   0.083 us    |          __wake_up_bit();
  0)   0.870 us    |        }
  0)               |        do_set_pte() {
  0)   0.081 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.085 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.683 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.105 us    |          }
  0)   4.330 us    |        }
  0)               |        unlock_page() {
  0)   0.082 us    |          __wake_up_bit();
  0)   0.689 us    |        }
  0)               |        do_set_pte() {
  0)   0.082 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.084 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.083 us    |              __inc_zone_state();
  0)   0.685 us    |            }
  0)   0.081 us    |            mem_cgroup_update_page_stat();
  0)   0.079 us    |            mem_cgroup_end_page_stat();
  0)   3.104 us    |          }
  0)   4.331 us    |        }
  0)               |        unlock_page() {
  0)   0.083 us    |          __wake_up_bit();
  0)   0.692 us    |        }
